ArylHalide_CX_Lowdin,ArylHalide_C_Chem Shift,ArylHalide_C_Electrostatic,ArylHalide_C_Exposed Area,ArylHalide_C_Mulliken,ArylHalide_XY_Chem Shift_Max,ArylHalide_XY_Chem Shift_Min,ArylHalide_XY_Electrostatic_Max,ArylHalide_XY_Electrostatic_Min,ArylHalide_XY_Exposed Area_Avg,ArylHalide_XY_Exposed Area_Max,ArylHalide_XY_Exposed Area_Min,ArylHalide_XY_Length_Max,ArylHalide_XY_Length_Min,ArylHalide_XY_Lowdin_Avg,ArylHalide_XY_Lowdin_Max,ArylHalide_XY_Lowdin_Min,ArylHalide_XY_Mulliken_Bond_Avg,ArylHalide_XY_Mulliken_Bond_Max,ArylHalide_XY_Mulliken_Bond_Min,ArylHalide_XY_Mulliken_Max,ArylHalide_XY_Mulliken_Min,ArylHalide_XY_Natural_Max,ArylHalide_XY_Natural_Min,ArylHalide_X_Electrostatic,ArylHalide_X_Mulliken,Electrophile,Electrophile_inchi,Kraken_E_oxidation_boltz,Kraken_E_solv_cds_boltz,Kraken_E_solv_elstat_boltz,Kraken_E_solv_total_boltz,Kraken_Pint_P_max_boltz,Kraken_Pint_P_min_boltz,Kraken_Pint_dP_boltz,Kraken_dipolemoment_boltz,Kraken_dipolemoment_delta,Kraken_dipolemoment_max,Kraken_dipolemoment_min,Kraken_dipolemoment_vburminconf,Kraken_efg_amp_P_boltz,Kraken_efgtens_xx_P_boltz,Kraken_efgtens_yy_P_boltz,Kraken_fmo_e_homo_boltz,Kraken_fmo_e_lumo_boltz,Kraken_fmo_eta_boltz,Kraken_fmo_mu_boltz,Kraken_fukui_p_boltz,Kraken_nbo_P_boltz,Kraken_nbo_P_ra_boltz,Kraken_nbo_P_rc_boltz,Kraken_nbo_bd_e_max_boltz,Kraken_nbo_bd_occ_avg_boltz,Kraken_nbo_bd_occ_min_boltz,Kraken_nbo_bds_e_avg_boltz,Kraken_nbo_bds_e_min_boltz,Kraken_nbo_bds_occ_avg_boltz,Kraken_nbo_bds_occ_max_boltz,Kraken_nbo_lp_P_e_boltz,Kraken_nbo_lp_P_occ_boltz,Kraken_nbo_lp_P_percent_s_boltz,Kraken_nmr_P_boltz,Kraken_nmrtens_sxx_P_boltz,Kraken_nmrtens_szz_P_boltz,Kraken_nuesp_P_boltz,Kraken_pyr_P_boltz,Kraken_pyr_P_delta,Kraken_pyr_P_max,Kraken_pyr_P_min,Kraken_pyr_P_vburminconf,Kraken_qpole_amp_boltz,Kraken_qpole_amp_delta,Kraken_qpole_amp_max,Kraken_qpole_amp_min,Kraken_qpole_amp_vburminconf,Kraken_qpoletens_xx_delta,Kraken_qpoletens_yy_boltz,Kraken_qpoletens_yy_delta,Kraken_qpoletens_yy_max,Kraken_qpoletens_yy_min,Kraken_qpoletens_yy_vburminconf,Kraken_qpoletens_zz_boltz,Kraken_qpoletens_zz_delta,Kraken_qpoletens_zz_max,Kraken_qpoletens_zz_min,Kraken_qpoletens_zz_vburminconf,Kraken_somo_rc_boltz,Kraken_sphericity_boltz,Kraken_spindens_P_ra_boltz,Kraken_sterimol_B1_delta,Kraken_sterimol_B1_max,Kraken_sterimol_B1_vburminconf,Kraken_sterimol_B5_boltz,Kraken_sterimol_B5_delta,Kraken_sterimol_B5_max,Kraken_sterimol_B5_min,Kraken_sterimol_B5_vburminconf,Kraken_sterimol_L_boltz,Kraken_sterimol_L_delta,Kraken_sterimol_L_max,Kraken_sterimol_L_min,Kraken_sterimol_L_vburminconf,Kraken_sterimol_burB1_boltz,Kraken_sterimol_burB1_delta,Kraken_sterimol_burB1_max,Kraken_sterimol_burB1_min,Kraken_sterimol_burB1_vburminconf,Kraken_sterimol_burB5_boltz,Kraken_sterimol_burB5_delta,Kraken_sterimol_burB5_max,Kraken_sterimol_burB5_min,Kraken_sterimol_burB5_vburminconf,Kraken_sterimol_burL_boltz,Kraken_sterimol_burL_delta,Kraken_sterimol_burL_max,Kraken_sterimol_burL_min,Kraken_sterimol_burL_vburminconf,Kraken_vbur_far_vbur_min,Kraken_vbur_far_vtot_min,Kraken_vbur_far_vtot_vburminconf,Kraken_vbur_max_delta_qvbur_min,Kraken_vbur_max_delta_qvbur_vburminconf,Kraken_vbur_max_delta_qvtot_boltz,Kraken_vbur_max_delta_qvtot_delta,Kraken_vbur_max_delta_qvtot_min,Kraken_vbur_max_delta_qvtot_vburminconf,Kraken_vbur_near_vbur_delta,Kraken_vbur_near_vbur_max,Kraken_vbur_near_vtot_boltz,Kraken_vbur_near_vtot_delta,Kraken_vbur_ovbur_max_delta,Kraken_vbur_ovbur_max_max,Kraken_vbur_ovbur_min_boltz,Kraken_vbur_ovbur_min_max,Kraken_vbur_ovtot_max_boltz,Kraken_vbur_ovtot_max_delta,Kraken_vbur_ovtot_max_min,Kraken_vbur_ovtot_min_boltz,Kraken_vbur_ovtot_min_max,Kraken_vbur_qvbur_max_min,Kraken_vbur_qvbur_min_boltz,Kraken_vbur_qvbur_min_max,Kraken_vbur_qvbur_min_min,Kraken_vbur_qvbur_min_vburminconf,Kraken_vbur_qvtot_max_boltz,Kraken_vbur_qvtot_max_delta,Kraken_vbur_qvtot_min_boltz,Kraken_vbur_qvtot_min_delta,Kraken_vbur_qvtot_min_max,Kraken_vbur_qvtot_min_min,Kraken_vbur_qvtot_min_vburminconf,Kraken_vbur_ratio_vbur_vtot_boltz,Kraken_vbur_vbur_boltz,Kraken_vbur_vbur_max,Kraken_vbur_vbur_min,Kraken_vbur_vtot_boltz,Kraken_vmin_r_boltz,Kraken_vmin_vmin_boltz,Ligand,Ligand_inchi,Product_inchi,Product Name old,Product Name,Solvent_inchi,Yield,class
1.1,134.134,-0.032,7.37,0.011,125.672,125.672,-0.054,-0.054,13.574,13.574,13.574,1.393,1.393,1.45,1.45,1.45,1.41,1.41,1.41,-0.149,-0.149,-0.241,-0.241,-0.065,-0.082,4-Bromobiphenyl,InChI=1S/C12H9Br/c13-12-8-6-11(7-9-12)10-4-2-1-3-5-10/h1-9H,0.2860785,-5.28,-7.6892405,-12.96924,34.27,10.11,4.64,0.4631247,0,0.4631247,0.4631247,0.4631247,1.8044779,-0.736877,-0.736473,-0.23821,-0.04316,0.19505,-0.140685,0.02019,0.80574,0.78555,1.12031,-0.48988,1.9531434,1.95313,0.21168333,0.21163,0.03772,0.03774,-0.32062,1.9063,49.57,301.0801,288.9218,325.1818,-54.164253,0.9329538,0,0.9329538,0.9329538,0.9329538,6.351721,0,6.351721,6.351721,6.351721,0,-2.5505571,0,-2.5505571,-2.5505571,-2.5505571,-2.63537,0,-2.63537,-2.63537,-2.63537,-0.39844,0.755191,0.0056,0,4.449644,4.449644,6.9198594,0,6.9198594,6.9198594,6.9198594,7.2248254,0,7.2248254,7.2248254,7.2248254,4.2537055,0,4.2537055,4.2537055,4.2537055,6.051845,0,6.051845,6.051845,6.051845,6.943428,0,6.943428,6.943428,6.943428,0,0,0,1.3429415,1.3429415,31.036278,0,31.036278,31.036278,0,50.861298,328.85492,0,0,13.964919,0,0,95.85096,0,95.85096,0,0,13.964919,11.503905,11.503905,11.503905,11.503905,95.85096,0,64.81468,0,64.81468,64.81468,64.81468,0.1546618,50.861298,50.861298,50.861298,328.85492,1.8601599,-0.0376375,P(p-F-Ph)3,InChI=1S/C18H12F3P/c19-13-1-7-16(8-2-13)22(17-9-3-14(20)4-10-17)18-11-5-15(21)6-12-18/h1-12H,"InChI=1S/C12H11BO2/c14-13(15)12-8-6-11(7-9-12)10-4-2-1-3-5-10/h1-9,14-15H",1,A,"InChI=1S/C2H6O/c1-2-3/h3H,2H2,1H3",100,1
1.09,136.282,-0.197,7.369,-0.025,139.527,126.017,0.327,0.007,8.957,13.433,4.481,1.403,1.395,1.435,1.46,1.41,1.39,1.39,1.39,0.031,-0.151,-0.066,-0.243,-0.046,-0.079,"2-bromo-1,1'-biphenyl",InChI=1S/C12H9Br/c13-12-9-5-4-8-11(12)10-6-2-1-3-7-10/h1-9H,0.2860785,-5.28,-7.6892405,-12.96924,34.27,10.11,4.64,0.4631247,0,0.4631247,0.4631247,0.4631247,1.8044779,-0.736877,-0.736473,-0.23821,-0.04316,0.19505,-0.140685,0.02019,0.80574,0.78555,1.12031,-0.48988,1.9531434,1.95313,0.21168333,0.21163,0.03772,0.03774,-0.32062,1.9063,49.57,301.0801,288.9218,325.1818,-54.164253,0.9329538,0,0.9329538,0.9329538,0.9329538,6.351721,0,6.351721,6.351721,6.351721,0,-2.5505571,0,-2.5505571,-2.5505571,-2.5505571,-2.63537,0,-2.63537,-2.63537,-2.63537,-0.39844,0.755191,0.0056,0,4.449644,4.449644,6.9198594,0,6.9198594,6.9198594,6.9198594,7.2248254,0,7.2248254,7.2248254,7.2248254,4.2537055,0,4.2537055,4.2537055,4.2537055,6.051845,0,6.051845,6.051845,6.051845,6.943428,0,6.943428,6.943428,6.943428,0,0,0,1.3429415,1.3429415,31.036278,0,31.036278,31.036278,0,50.861298,328.85492,0,0,13.964919,0,0,95.85096,0,95.85096,0,0,13.964919,11.503905,11.503905,11.503905,11.503905,95.85096,0,64.81468,0,64.81468,64.81468,64.81468,0.1546618,50.861298,50.861298,50.861298,328.85492,1.8601599,-0.0376375,P(p-F-Ph)3,InChI=1S/C18H12F3P/c19-13-1-7-16(8-2-13)22(17-9-3-14(20)4-10-17)18-11-5-15(21)6-12-18/h1-12H,"InChI=1S/C12H11BO2/c14-13(15)12-9-5-4-8-11(12)10-6-2-1-3-7-10/h1-9,14-15H",2,B,"InChI=1S/C2H6O/c1-2-3/h3H,2H2,1H3",79.365,1
1.09,134.495,-0.253,7.383,-0.039,152.735,132.191,0.741,0.094,10.879,13.587,8.171,1.406,1.391,1.425,1.47,1.38,1.38,1.42,1.34,0.297,-0.115,0.21,-0.211,-0.053,-0.073,3-bromo-2-methylpyridine,"InChI=1S/C6H6BrN/c1-5-6(7)3-2-4-8-5/h2-4H,1H3",0.2860785,-5.28,-7.6892405,-12.96924,34.27,10.11,4.64,0.4631247,0,0.4631247,0.4631247,0.4631247,1.8044779,-0.736877,-0.736473,-0.23821,-0.04316,0.19505,-0.140685,0.02019,0.80574,0.78555,1.12031,-0.48988,1.9531434,1.95313,0.21168333,0.21163,0.03772,0.03774,-0.32062,1.9063,49.57,301.0801,288.9218,325.1818,-54.164253,0.9329538,0,0.9329538,0.9329538,0.9329538,6.351721,0,6.351721,6.351721,6.351721,0,-2.5505571,0,-2.5505571,-2.5505571,-2.5505571,-2.63537,0,-2.63537,-2.63537,-2.63537,-0.39844,0.755191,0.0056,0,4.449644,4.449644,6.9198594,0,6.9198594,6.9198594,6.9198594,7.2248254,0,7.2248254,7.2248254,7.2248254,4.2537055,0,4.2537055,4.2537055,4.2537055,6.051845,0,6.051845,6.051845,6.051845,6.943428,0,6.943428,6.943428,6.943428,0,0,0,1.3429415,1.3429415,31.036278,0,31.036278,31.036278,0,50.861298,328.85492,0,0,13.964919,0,0,95.85096,0,95.85096,0,0,13.964919,11.503905,11.503905,11.503905,11.503905,95.85096,0,64.81468,0,64.81468,64.81468,64.81468,0.1546618,50.861298,50.861298,50.861298,328.85492,1.8601599,-0.0376375,P(p-F-Ph)3,InChI=1S/C18H12F3P/c19-13-1-7-16(8-2-13)22(17-9-3-14(20)4-10-17)18-11-5-15(21)6-12-18/h1-12H,"InChI=1S/C6H8BNO2/c1-5-6(7(9)10)3-2-4-8-5/h2-4,9-10H,1H3",3,C,"InChI=1S/C2H6O/c1-2-3/h3H,2H2,1H3",94.75405298,1
1.11,138.789,-0.086,7.354,0.018,125.649,125.649,0.009,0.009,13.572,13.572,13.572,1.395,1.395,1.46,1.46,1.46,1.41,1.41,1.41,-0.149,-0.149,-0.24,-0.24,-0.037,-0.062,4-Bromobenzotrifluoride,"InChI=1S/C7H4BrF3/c8-6-3-1-5(2-4-6)7(9,10)11/h1-4H",0.2860785,-5.28,-7.6892405,-12.96924,34.27,10.11,4.64,0.4631247,0,0.4631247,0.4631247,0.4631247,1.8044779,-0.736877,-0.736473,-0.23821,-0.04316,0.19505,-0.140685,0.02019,0.80574,0.78555,1.12031,-0.48988,1.9531434,1.95313,0.21168333,0.21163,0.03772,0.03774,-0.32062,1.9063,49.57,301.0801,288.9218,325.1818,-54.164253,0.9329538,0,0.9329538,0.9329538,0.9329538,6.351721,0,6.351721,6.351721,6.351721,0,-2.5505571,0,-2.5505571,-2.5505571,-2.5505571,-2.63537,0,-2.63537,-2.63537,-2.63537,-0.39844,0.755191,0.0056,0,4.449644,4.449644,6.9198594,0,6.9198594,6.9198594,6.9198594,7.2248254,0,7.2248254,7.2248254,7.2248254,4.2537055,0,4.2537055,4.2537055,4.2537055,6.051845,0,6.051845,6.051845,6.051845,6.943428,0,6.943428,6.943428,6.943428,0,0,0,1.3429415,1.3429415,31.036278,0,31.036278,31.036278,0,50.861298,328.85492,0,0,13.964919,0,0,95.85096,0,95.85096,0,0,13.964919,11.503905,11.503905,11.503905,11.503905,95.85096,0,64.81468,0,64.81468,64.81468,64.81468,0.1546618,50.861298,50.861298,50.861298,328.85492,1.8601599,-0.0376375,P(p-F-Ph)3,InChI=1S/C18H12F3P/c19-13-1-7-16(8-2-13)22(17-9-3-14(20)4-10-17)18-11-5-15(21)6-12-18/h1-12H,"InChI=1S/C7H6BF3O2/c9-7(10,11)5-1-3-6(4-2-5)8(12)13/h1-4,12-13H",4,D,"InChI=1S/C2H6O/c1-2-3/h3H,2H2,1H3",89.805,1
1.1,126.213,0.119,7.356,-0.004,118.438,106.432,-0.195,-0.38,13.664,13.817,13.511,1.406,1.391,1.455,1.5,1.41,1.405,1.46,1.35,-0.162,-0.198,-0.258,-0.293,-0.092,-0.081,"4-Bromo-1,2-(methylenedioxy)benzene","InChI=1S/C7H5BrO2/c8-5-1-2-6-7(3-5)10-4-9-6/h1-3H,4H2",0.2860785,-5.28,-7.6892405,-12.96924,34.27,10.11,4.64,0.4631247,0,0.4631247,0.4631247,0.4631247,1.8044779,-0.736877,-0.736473,-0.23821,-0.04316,0.19505,-0.140685,0.02019,0.80574,0.78555,1.12031,-0.48988,1.9531434,1.95313,0.21168333,0.21163,0.03772,0.03774,-0.32062,1.9063,49.57,301.0801,288.9218,325.1818,-54.164253,0.9329538,0,0.9329538,0.9329538,0.9329538,6.351721,0,6.351721,6.351721,6.351721,0,-2.5505571,0,-2.5505571,-2.5505571,-2.5505571,-2.63537,0,-2.63537,-2.63537,-2.63537,-0.39844,0.755191,0.0056,0,4.449644,4.449644,6.9198594,0,6.9198594,6.9198594,6.9198594,7.2248254,0,7.2248254,7.2248254,7.2248254,4.2537055,0,4.2537055,4.2537055,4.2537055,6.051845,0,6.051845,6.051845,6.051845,6.943428,0,6.943428,6.943428,6.943428,0,0,0,1.3429415,1.3429415,31.036278,0,31.036278,31.036278,0,50.861298,328.85492,0,0,13.964919,0,0,95.85096,0,95.85096,0,0,13.964919,11.503905,11.503905,11.503905,11.503905,95.85096,0,64.81468,0,64.81468,64.81468,64.81468,0.1546618,50.861298,50.861298,50.861298,328.85492,1.8601599,-0.0376375,P(p-F-Ph)3,InChI=1S/C18H12F3P/c19-13-1-7-16(8-2-13)22(17-9-3-14(20)4-10-17)18-11-5-15(21)6-12-18/h1-12H,"InChI=1S/C7H7BO4/c9-8(10)5-1-2-6-7(3-5)12-4-11-6/h1-3,9-10H,4H2",5,E,"InChI=1S/C2H6O/c1-2-3/h3H,2H2,1H3",78.82,1
1.14,128.897,0.169,7.599,-0.073,116.499,114.434,-0.178,-0.367,13.624,13.69,13.558,1.408,1.386,1.455,1.52,1.39,1.4,1.45,1.35,-0.155,-0.205,-0.23,-0.255,-0.146,-0.046,5-chloroindole,"InChI=1S/C8H6ClN/c9-7-1-2-8-6(5-7)3-4-10-8/h1-5,10H",0.2860785,-5.28,-7.6892405,-12.96924,34.27,10.11,4.64,0.4631247,0,0.4631247,0.4631247,0.4631247,1.8044779,-0.736877,-0.736473,-0.23821,-0.04316,0.19505,-0.140685,0.02019,0.80574,0.78555,1.12031,-0.48988,1.9531434,1.95313,0.21168333,0.21163,0.03772,0.03774,-0.32062,1.9063,49.57,301.0801,288.9218,325.1818,-54.164253,0.9329538,0,0.9329538,0.9329538,0.9329538,6.351721,0,6.351721,6.351721,6.351721,0,-2.5505571,0,-2.5505571,-2.5505571,-2.5505571,-2.63537,0,-2.63537,-2.63537,-2.63537,-0.39844,0.755191,0.0056,0,4.449644,4.449644,6.9198594,0,6.9198594,6.9198594,6.9198594,7.2248254,0,7.2248254,7.2248254,7.2248254,4.2537055,0,4.2537055,4.2537055,4.2537055,6.051845,0,6.051845,6.051845,6.051845,6.943428,0,6.943428,6.943428,6.943428,0,0,0,1.3429415,1.3429415,31.036278,0,31.036278,31.036278,0,50.861298,328.85492,0,0,13.964919,0,0,95.85096,0,95.85096,0,0,13.964919,11.503905,11.503905,11.503905,11.503905,95.85096,0,64.81468,0,64.81468,64.81468,64.81468,0.1546618,50.861298,50.861298,50.861298,328.85492,1.8601599,-0.0376375,P(p-F-Ph)3,InChI=1S/C18H12F3P/c19-13-1-7-16(8-2-13)22(17-9-3-14(20)4-10-17)18-11-5-15(21)6-12-18/h1-12H,"InChI=1S/C8H8BNO2/c11-9(12)7-1-2-8-6(5-7)3-4-10-8/h1-5,10-12H",6,F,"InChI=1S/C2H6O/c1-2-3/h3H,2H2,1H3",95.32,1
1.11,140.674,-0.04,7.359,0.018,125.3,125.3,-0.03,-0.041,13.5745,13.58,13.569,1.396,1.395,1.45,1.45,1.45,1.405,1.41,1.4,-0.152,-0.153,-0.249,-0.249,-0.047,-0.067,methyl 4-bromobenzoate,"InChI=1S/C8H7BrO2/c1-11-8(10)6-2-4-7(9)5-3-6/h2-5H,1H3",0.2860785,-5.28,-7.6892405,-12.96924,34.27,10.11,4.64,0.4631247,0,0.4631247,0.4631247,0.4631247,1.8044779,-0.736877,-0.736473,-0.23821,-0.04316,0.19505,-0.140685,0.02019,0.80574,0.78555,1.12031,-0.48988,1.9531434,1.95313,0.21168333,0.21163,0.03772,0.03774,-0.32062,1.9063,49.57,301.0801,288.9218,325.1818,-54.164253,0.9329538,0,0.9329538,0.9329538,0.9329538,6.351721,0,6.351721,6.351721,6.351721,0,-2.5505571,0,-2.5505571,-2.5505571,-2.5505571,-2.63537,0,-2.63537,-2.63537,-2.63537,-0.39844,0.755191,0.0056,0,4.449644,4.449644,6.9198594,0,6.9198594,6.9198594,6.9198594,7.2248254,0,7.2248254,7.2248254,7.2248254,4.2537055,0,4.2537055,4.2537055,4.2537055,6.051845,0,6.051845,6.051845,6.051845,6.943428,0,6.943428,6.943428,6.943428,0,0,0,1.3429415,1.3429415,31.036278,0,31.036278,31.036278,0,50.861298,328.85492,0,0,13.964919,0,0,95.85096,0,95.85096,0,0,13.964919,11.503905,11.503905,11.503905,11.503905,95.85096,0,64.81468,0,64.81468,64.81468,64.81468,0.1546618,50.861298,50.861298,50.861298,328.85492,1.8601599,-0.0376375,P(p-F-Ph)3,InChI=1S/C18H12F3P/c19-13-1-7-16(8-2-13)22(17-9-3-14(20)4-10-17)18-11-5-15(21)6-12-18/h1-12H,"InChI=1S/C8H9BO4/c1-13-8(10)6-2-4-7(5-3-6)9(11)12/h2-5,11-12H,1H3",7,G,"InChI=1S/C2H6O/c1-2-3/h3H,2H2,1H3",79.885,1
1.18,128.893,-0.021,7.624,-0.141,152.376,123.949,0.359,-0.114,11.3215,13.634,9.009,1.398,1.396,1.405,1.44,1.37,1.355,1.4,1.31,0.391,-0.139,0.409,-0.237,-0.064,0.02,Ethyl 4-chloro-3-fluorobenzoate,"InChI=1S/C9H8ClFO2/c1-2-13-9(12)6-3-4-7(10)8(11)5-6/h3-5H,2H2,1H3",0.2860785,-5.28,-7.6892405,-12.96924,34.27,10.11,4.64,0.4631247,0,0.4631247,0.4631247,0.4631247,1.8044779,-0.736877,-0.736473,-0.23821,-0.04316,0.19505,-0.140685,0.02019,0.80574,0.78555,1.12031,-0.48988,1.9531434,1.95313,0.21168333,0.21163,0.03772,0.03774,-0.32062,1.9063,49.57,301.0801,288.9218,325.1818,-54.164253,0.9329538,0,0.9329538,0.9329538,0.9329538,6.351721,0,6.351721,6.351721,6.351721,0,-2.5505571,0,-2.5505571,-2.5505571,-2.5505571,-2.63537,0,-2.63537,-2.63537,-2.63537,-0.39844,0.755191,0.0056,0,4.449644,4.449644,6.9198594,0,6.9198594,6.9198594,6.9198594,7.2248254,0,7.2248254,7.2248254,7.2248254,4.2537055,0,4.2537055,4.2537055,4.2537055,6.051845,0,6.051845,6.051845,6.051845,6.943428,0,6.943428,6.943428,6.943428,0,0,0,1.3429415,1.3429415,31.036278,0,31.036278,31.036278,0,50.861298,328.85492,0,0,13.964919,0,0,95.85096,0,95.85096,0,0,13.964919,11.503905,11.503905,11.503905,11.503905,95.85096,0,64.81468,0,64.81468,64.81468,64.81468,0.1546618,50.861298,50.861298,50.861298,328.85492,1.8601599,-0.0376375,P(p-F-Ph)3,InChI=1S/C18H12F3P/c19-13-1-7-16(8-2-13)22(17-9-3-14(20)4-10-17)18-11-5-15(21)6-12-18/h1-12H,"InChI=1S/C9H10BFO4/c1-2-15-9(12)6-3-4-7(10(13)14)8(11)5-6/h3-5,13-14H,2H2,1H3",8,H,"InChI=1S/C2H6O/c1-2-3/h3H,2H2,1H3",43.61,1
1.14,127.357,0.314,7.626,-0.069,122.908,122.908,-0.148,-0.203,13.6075,13.631,13.584,1.396,1.39,1.45,1.47,1.43,1.42,1.44,1.4,-0.132,-0.146,-0.23,-0.235,-0.136,-0.035,Clofibrate,"InChI=1S/C12H15ClO3/c1-4-15-11(14)12(2,3)16-10-7-5-9(13)6-8-10/h5-8H,4H2,1-3H3",0.26573855,-10.363807,-6.1882176,-16.552025,36.234898,12.825701,4.2732673,1.0883455,0.6077397,1.5146358,0.9068961,1.5146358,1.7812446,-0.8525789,-0.594096,-0.21884222,-0.030145148,0.18869708,-0.12449369,0.013581187,0.7875156,0.77393436,1.2177265,-0.4384967,1.9537871,1.9475887,0.21077147,0.20009215,0.035464734,0.0401299,-0.3031058,1.9314066,51.50242,308.93365,287.00116,335.7529,-54.19697,0.9305658,0.088505685,0.9487888,0.86028314,0.86028314,5.5480185,2.5439327,7.483573,4.9396405,5.2500606,3.0001721,1.5117416,2.3205671,1.9831961,-0.33737096,0.6301519,-4.444429,1.5520205,-3.9870987,-5.5391192,-3.9870987,-0.3761253,0.7463866,0.013871533,1.2741942,4.749651,4.628886,6.7623825,1.2709601,7.3852777,6.1143174,6.7715,7.8820314,2.8661728,10.346047,7.4798746,10.346047,4.224047,1.2236392,4.699096,3.4754567,4.628886,6.4976215,0.96280193,7.0552597,6.092458,6.3767047,7.370445,1.1340201,8.155038,7.021018,8.086289,0,0,0.07050406,3.3583999,5.6029115,87.85676,74.81171,39.064358,39.064358,24.657202,81.62135,347.72058,75.34865,5.944922,22.296595,0.016806755,1.119118,114.307365,35.743988,108.22774,0.04223758,3.0832956,16.351673,12.405591,19.814663,9.967471,11.520639,159.30307,50.044067,59.329487,32.887535,77.44897,44.56143,72.19718,0.2120845,85.33929,111.484024,57.03318,402.37967,1.8164614,-0.06135115,Cy-JohnPhos,"InChI=1S/C24H31P/c1-4-12-20(13-5-1)23-18-10-11-19-24(23)25(21-14-6-2-7-15-21)22-16-8-3-9-17-22/h1,4-5,10-13,18-19,21-22H,2-3,6-9,14-17H2","InChI=1S/C12H17BO5/c1-4-17-11(14)12(2,3)18-10-7-5-9(6-8-10)13(15)16/h5-8,15-16H,4H2,1-3H3",9,I,"InChI=1S/C2H6O/c1-2-3/h3H,2H2,1H3",95.25,2
1.11,121.067,0.084,7.581,0.029,122.169,121.544,-0.168,-0.23,15.636,16.786,14.486,1.428,1.365,1.475,1.66,1.29,1.44,1.62,1.26,-0.092,-0.358,-0.285,-0.452,-0.08,-0.063,3-Bromothiophene,InChI=1S/C4H3BrS/c5-4-1-2-6-3-4/h1-3H,0.26573855,-10.363807,-6.1882176,-16.552025,36.234898,12.825701,4.2732673,1.0883455,0.6077397,1.5146358,0.9068961,1.5146358,1.7812446,-0.8525789,-0.594096,-0.21884222,-0.030145148,0.18869708,-0.12449369,0.013581187,0.7875156,0.77393436,1.2177265,-0.4384967,1.9537871,1.9475887,0.21077147,0.20009215,0.035464734,0.0401299,-0.3031058,1.9314066,51.50242,308.93365,287.00116,335.7529,-54.19697,0.9305658,0.088505685,0.9487888,0.86028314,0.86028314,5.5480185,2.5439327,7.483573,4.9396405,5.2500606,3.0001721,1.5117416,2.3205671,1.9831961,-0.33737096,0.6301519,-4.444429,1.5520205,-3.9870987,-5.5391192,-3.9870987,-0.3761253,0.7463866,0.013871533,1.2741942,4.749651,4.628886,6.7623825,1.2709601,7.3852777,6.1143174,6.7715,7.8820314,2.8661728,10.346047,7.4798746,10.346047,4.224047,1.2236392,4.699096,3.4754567,4.628886,6.4976215,0.96280193,7.0552597,6.092458,6.3767047,7.370445,1.1340201,8.155038,7.021018,8.086289,0,0,0.07050406,3.3583999,5.6029115,87.85676,74.81171,39.064358,39.064358,24.657202,81.62135,347.72058,75.34865,5.944922,22.296595,0.016806755,1.119118,114.307365,35.743988,108.22774,0.04223758,3.0832956,16.351673,12.405591,19.814663,9.967471,11.520639,159.30307,50.044067,59.329487,32.887535,77.44897,44.56143,72.19718,0.2120845,85.33929,111.484024,57.03318,402.37967,1.8164614,-0.06135115,Cy-JohnPhos,"InChI=1S/C24H31P/c1-4-12-20(13-5-1)23-18-10-11-19-24(23)25(21-14-6-2-7-15-21)22-16-8-3-9-17-22/h1,4-5,10-13,18-19,21-22H,2-3,6-9,14-17H2","InChI=1S/C4H5BO2S/c6-5(7)4-1-2-8-3-4/h1-3,6-7H",10,J,"InChI=1S/C2H6O/c1-2-3/h3H,2H2,1H3",78.93,2
